ATKMSG_Z_M_000=!
ATKMSG_Z_Y_000=!
ATKMSG_Z_E_000=!
ATKMSG_Z_N_000=!
ATKMSG_Z_M_001={0x0101,0x0000} setzt[0x000A]Z-Pfund ein!
ATKMSG_Z_Y_258={0x0101,0x0000} (wild) setzt[0x000A]Z-Hagelsturm ein!
ATKMSG_Z_E_258={0x0101,0x0000} (Gegner) setzt[0x000A]Z-Hagelsturm ein!
ATKMSG_Z_N_258={0x0101,0x0000} (Herrscher) setzt[0x000A]Z-Hagelsturm ein!
ATKMSG_Z_M_259={0x0101,0x0000} setzt[0x000A]Z-Folterknecht ein!
ATKMSG_Z_Y_259={0x0101,0x0000} (wild) setzt[0x000A]Z-Folterknecht ein!
ATKMSG_Z_E_259={0x0101,0x0000} (Gegner) setzt[0x000A]Z-Folterknecht ein!
ATKMSG_Z_N_259={0x0101,0x0000} (Herrscher) setzt[0x000A]Z-Folterknecht ein!
ATKMSG_Z_M_260={0x0101,0x0000} setzt[0x000A]Z-Schmeichler ein!
ATKMSG_Z_Y_260={0x0101,0x0000} (wild) setzt[0x000A]Z-Schmeichler ein!
ATKMSG_Z_E_260={0x0101,0x0000} (Gegner) setzt[0x000A]Z-Schmeichler ein!
ATKMSG_Z_N_260={0x0101,0x0000} (Herrscher) setzt[0x000A]Z-Schmeichler ein!
ATKMSG_Z_M_261={0x0101,0x0000} setzt[0x000A]Z-Irrlicht ein!
ATKMSG_Z_Y_261={0x0101,0x0000} (wild) setzt[0x000A]Z-Irrlicht ein!
ATKMSG_Z_E_261={0x0101,0x0000} (Gegner) setzt[0x000A]Z-Irrlicht ein!
ATKMSG_Z_N_261={0x0101,0x0000} (Herrscher) setzt[0x000A]Z-Irrlicht ein!
ATKMSG_Z_M_262={0x0101,0x0000} setzt[0x000A]Z-Memento-Mori ein!
ATKMSG_Z_Y_262={0x0101,0x0000} (wild) setzt[0x000A]Z-Memento-Mori ein!
ATKMSG_Z_E_262={0x0101,0x0000} (Gegner) setzt[0x000A]Z-Memento-Mori ein!
ATKMSG_Z_N_262={0x0101,0x0000} (Herrscher) setzt[0x000A]Z-Memento-Mori ein!
ATKMSG_Z_M_263={0x0101,0x0000} setzt[0x000A]Z-Fassade ein!
ATKMSG_Z_Y_263={0x0101,0x0000} (wild) setzt[0x000A]Z-Fassade ein!
ATKMSG_Z_E_263={0x0101,0x0000} (Gegner) setzt[0x000A]Z-Fassade ein!
ATKMSG_Z_N_263={0x0101,0x0000} (Herrscher) setzt[0x000A]Z-Fassade ein!
ATKMSG_Z_M_264={0x0101,0x0000} setzt[0x000A]Z-Power-Punch ein!
ATKMSG_Z_Y_264={0x0101,0x0000} (wild) setzt[0x000A]Z-Power-Punch ein!
ATKMSG_Z_E_264={0x0101,0x0000} (Gegner) setzt[0x000A]Z-Power-Punch ein!
ATKMSG_Z_N_264={0x0101,0x0000} (Herrscher) setzt[0x000A]Z-Power-Punch ein!
ATKMSG_Z_M_265={0x0101,0x0000} setzt[0x000A]Z-Riechsalz ein!
ATKMSG_Z_Y_265={0x0101,0x0000} (wild) setzt[0x000A]Z-Riechsalz ein!
ATKMSG_Z_E_265={0x0101,0x0000} (Gegner) setzt[0x000A]Z-Riechsalz ein!
ATKMSG_Z_N_265={0x0101,0x0000} (Herrscher) setzt[0x000A]Z-Riechsalz ein!
ATKMSG_Z_M_266={0x0101,0x0000} setzt[0x000A]Z-Spotlight ein!
ATKMSG_Z_Y_266={0x0101,0x0000} (wild) setzt[0x000A]Z-Spotlight ein!
ATKMSG_Z_E_266={0x0101,0x0000} (Gegner) setzt[0x000A]Z-Spotlight ein!
ATKMSG_Z_N_266={0x0101,0x0000} (Herrscher) setzt[0x000A]Z-Spotlight ein!
ATKMSG_Z_M_267={0x0101,0x0000} setzt[0x000A]Z-Natur-Kraft ein!
ATKMSG_Z_Y_267={0x0101,0x0000} (wild) setzt[0x000A]Z-Natur-Kraft ein!
ATKMSG_Z_E_267={0x0101,0x0000} (Gegner) setzt[0x000A]Z-Natur-Kraft ein!
ATKMSG_Z_N_267={0x0101,0x0000} (Herrscher) setzt[0x000A]Z-Natur-Kraft ein!
ATKMSG_Z_M_268={0x0101,0x0000} setzt[0x000A]Z-Ladevorgang ein!
ATKMSG_Z_Y_268={0x0101,0x0000} (wild) setzt[0x000A]Z-Ladevorgang ein!
ATKMSG_Z_E_268={0x0101,0x0000} (Gegner) setzt[0x000A]Z-Ladevorgang ein!
ATKMSG_Z_N_268={0x0101,0x0000} (Herrscher) setzt[0x000A]Z-Ladevorgang ein!
ATKMSG_Z_M_269={0x0101,0x0000} setzt[0x000A]Z-Verhöhner ein!
ATKMSG_Z_Y_269={0x0101,0x0000} (wild) setzt[0x000A]Z-Verhöhner ein!
ATKMSG_Z_E_269={0x0101,0x0000} (Gegner) setzt[0x000A]Z-Verhöhner ein!
ATKMSG_Z_N_269={0x0101,0x0000} (Herrscher) setzt[0x000A]Z-Verhöhner ein!
ATKMSG_Z_M_270={0x0101,0x0000} setzt[0x000A]Z-Rechte Hand ein!
ATKMSG_Z_Y_270={0x0101,0x0000} (wild) setzt[0x000A]Z-Rechte Hand ein!
ATKMSG_Z_E_270={0x0101,0x0000} (Gegner) setzt[0x000A]Z-Rechte Hand ein!
ATKMSG_Z_N_270={0x0101,0x0000} (Herrscher) setzt[0x000A]Z-Rechte Hand ein!
ATKMSG_Z_M_271={0x0101,0x0000} setzt[0x000A]Z-Trickbetrug ein!
ATKMSG_Z_Y_271={0x0101,0x0000} (wild) setzt[0x000A]Z-Trickbetrug ein!
ATKMSG_Z_E_271={0x0101,0x0000} (Gegner) setzt[0x000A]Z-Trickbetrug ein!
ATKMSG_Z_N_271={0x0101,0x0000} (Herrscher) setzt[0x000A]Z-Trickbetrug ein!
ATKMSG_Z_M_272={0x0101,0x0000} setzt[0x000A]Z-Rollentausch ein!
ATKMSG_Z_Y_272={0x0101,0x0000} (wild) setzt[0x000A]Z-Rollentausch ein!
ATKMSG_Z_E_272={0x0101,0x0000} (Gegner) setzt[0x000A]Z-Rollentausch ein!
ATKMSG_Z_N_272={0x0101,0x0000} (Herrscher) setzt[0x000A]Z-Rollentausch ein!
ATKMSG_Z_M_273={0x0101,0x0000} spricht einen[0x000A]Z-Wunschtraum aus!
ATKMSG_Z_Y_273={0x0101,0x0000} (wild) spricht einen[0x000A]Z-Wunschtraum aus!
ATKMSG_Z_E_273={0x0101,0x0000} (Gegner) spricht einen[0x000A]Z-Wunschtraum aus!
ATKMSG_Z_N_273={0x0101,0x0000} (Herrscher) spricht einen[0x000A]Z-Wunschtraum aus!
ATKMSG_Z_M_274={0x0101,0x0000} setzt[0x000A]Z-Zuschuss ein!
ATKMSG_Z_Y_274={0x0101,0x0000} (wild) setzt[0x000A]Z-Zuschuss ein!
ATKMSG_Z_E_274={0x0101,0x0000} (Gegner) setzt[0x000A]Z-Zuschuss ein!
ATKMSG_Z_N_274={0x0101,0x0000} (Herrscher) setzt[0x000A]Z-Zuschuss ein!
ATKMSG_Z_M_275={0x0101,0x0000} setzt[0x000A]Z-Verwurzler ein!
ATKMSG_Z_Y_275={0x0101,0x0000} (wild) setzt[0x000A]Z-Verwurzler ein!
ATKMSG_Z_E_275={0x0101,0x0000} (Gegner) setzt[0x000A]Z-Verwurzler ein!
ATKMSG_Z_N_275={0x0101,0x0000} (Herrscher) setzt[0x000A]Z-Verwurzler ein!
ATKMSG_Z_M_276={0x0101,0x0000} setzt[0x000A]Z-Kraftkoloss ein!
ATKMSG_Z_Y_276={0x0101,0x0000} (wild) setzt[0x000A]Z-Kraftkoloss ein!
ATKMSG_Z_E_276={0x0101,0x0000} (Gegner) setzt[0x000A]Z-Kraftkoloss ein!
ATKMSG_Z_N_276={0x0101,0x0000} (Herrscher) setzt[0x000A]Z-Kraftkoloss ein!
ATKMSG_Z_M_277={0x0101,0x0000} setzt[0x000A]Z-Magiemantel ein!
ATKMSG_Z_Y_277={0x0101,0x0000} (wild) setzt[0x000A]Z-Magiemantel ein!
ATKMSG_Z_E_277={0x0101,0x0000} (Gegner) setzt[0x000A]Z-Magiemantel ein!
ATKMSG_Z_N_277={0x0101,0x0000} (Herrscher) setzt[0x000A]Z-Magiemantel ein!
ATKMSG_Z_M_278={0x0101,0x0000} setzt[0x000A]Z-Aufbereitung ein!
ATKMSG_Z_Y_278={0x0101,0x0000} (wild) setzt[0x000A]Z-Aufbereitung ein!
ATKMSG_Z_E_278={0x0101,0x0000} (Gegner) setzt[0x000A]Z-Aufbereitung ein!
ATKMSG_Z_N_278={0x0101,0x0000} (Herrscher) setzt[0x000A]Z-Aufbereitung ein!
ATKMSG_Z_M_279={0x0101,0x0000} setzt[0x000A]Z-Vergeltung ein!
ATKMSG_Z_Y_279={0x0101,0x0000} (wild) setzt[0x000A]Z-Vergeltung ein!
ATKMSG_Z_E_279={0x0101,0x0000} (Gegner) setzt[0x000A]Z-Vergeltung ein!
ATKMSG_Z_N_279={0x0101,0x0000} (Herrscher) setzt[0x000A]Z-Vergeltung ein!
ATKMSG_Z_M_280={0x0101,0x0000} setzt[0x000A]Z-Durchbruch ein!
ATKMSG_Z_Y_280={0x0101,0x0000} (wild) setzt[0x000A]Z-Durchbruch ein!
ATKMSG_Z_E_280={0x0101,0x0000} (Gegner) setzt[0x000A]Z-Durchbruch ein!
ATKMSG_Z_N_280={0x0101,0x0000} (Herrscher) setzt[0x000A]Z-Durchbruch ein!
ATKMSG_Z_M_281={0x0101,0x0000} setzt[0x000A]Z-Gähner ein!
ATKMSG_Z_Y_281={0x0101,0x0000} (wild) setzt[0x000A]Z-Gähner ein!
ATKMSG_Z_E_281={0x0101,0x0000} (Gegner) setzt[0x000A]Z-Gähner ein!
ATKMSG_Z_N_281={0x0101,0x0000} (Herrscher) setzt[0x000A]Z-Gähner ein!
ATKMSG_Z_M_282={0x0101,0x0000} setzt[0x000A]Z-Abschlag ein!
ATKMSG_Z_Y_282={0x0101,0x0000} (wild) setzt[0x000A]Z-Abschlag ein!
ATKMSG_Z_E_282={0x0101,0x0000} (Gegner) setzt[0x000A]Z-Abschlag ein!
ATKMSG_Z_N_282={0x0101,0x0000} (Herrscher) setzt[0x000A]Z-Abschlag ein!
ATKMSG_Z_M_283={0x0101,0x0000} setzt[0x000A]Z-Notsituation ein!
ATKMSG_Z_Y_283={0x0101,0x0000} (wild) setzt[0x000A]Z-Notsituation ein!
ATKMSG_Z_E_283={0x0101,0x0000} (Gegner) setzt[0x000A]Z-Notsituation ein!
ATKMSG_Z_N_283={0x0101,0x0000} (Herrscher) setzt[0x000A]Z-Notsituation ein!
ATKMSG_Z_M_284={0x0101,0x0000} setzt[0x000A]Z-Eruption ein!
ATKMSG_Z_Y_284={0x0101,0x0000} (wild) setzt[0x000A]Z-Eruption ein!
ATKMSG_Z_E_284={0x0101,0x0000} (Gegner) setzt[0x000A]Z-Eruption ein!
ATKMSG_Z_N_284={0x0101,0x0000} (Herrscher) setzt[0x000A]Z-Eruption ein!
ATKMSG_Z_M_285={0x0101,0x0000} setzt[0x000A]Z-Wertewechsel ein!
ATKMSG_Z_Y_285={0x0101,0x0000} (wild) setzt[0x000A]Z-Wertewechsel ein!
ATKMSG_Z_E_285={0x0101,0x0000} (Gegner) setzt[0x000A]Z-Wertewechsel ein!
ATKMSG_Z_N_285={0x0101,0x0000} (Herrscher) setzt[0x000A]Z-Wertewechsel ein!
ATKMSG_Z_M_286={0x0101,0x0000} setzt[0x000A]Z-Begrenzer ein!
ATKMSG_Z_Y_286={0x0101,0x0000} (wild) setzt[0x000A]Z-Begrenzer ein!
ATKMSG_Z_E_286={0x0101,0x0000} (Gegner) setzt[0x000A]Z-Begrenzer ein!
ATKMSG_Z_N_286={0x0101,0x0000} (Herrscher) setzt[0x000A]Z-Begrenzer ein!
ATKMSG_Z_M_287={0x0101,0x0000} setzt[0x000A]Z-Heilung ein!
ATKMSG_Z_Y_287={0x0101,0x0000} (wild) setzt[0x000A]Z-Heilung ein!
ATKMSG_Z_E_287={0x0101,0x0000} (Gegner) setzt[0x000A]Z-Heilung ein!
ATKMSG_Z_N_287={0x0101,0x0000} (Herrscher) setzt[0x000A]Z-Heilung ein!
ATKMSG_Z_M_288={0x0101,0x0000} setzt[0x000A]Z-Nachspiel ein!
ATKMSG_Z_Y_288={0x0101,0x0000} (wild) setzt[0x000A]Z-Nachspiel ein!
ATKMSG_Z_E_288={0x0101,0x0000} (Gegner) setzt[0x000A]Z-Nachspiel ein!
ATKMSG_Z_N_288={0x0101,0x0000} (Herrscher) setzt[0x000A]Z-Nachspiel ein!
ATKMSG_Z_M_289={0x0101,0x0000} setzt[0x000A]Z-Übernahme ein!
ATKMSG_Z_Y_289={0x0101,0x0000} (wild) setzt[0x000A]Z-Übernahme ein!
ATKMSG_Z_E_289={0x0101,0x0000} (Gegner) setzt[0x000A]Z-Übernahme ein!
ATKMSG_Z_N_289={0x0101,0x0000} (Herrscher) setzt[0x000A]Z-Übernahme ein!
ATKMSG_Z_M_290={0x0101,0x0000} setzt[0x000A]Z-Geheimpower ein!
ATKMSG_Z_Y_290={0x0101,0x0000} (wild) setzt[0x000A]Z-Geheimpower ein!
ATKMSG_Z_E_290={0x0101,0x0000} (Gegner) setzt[0x000A]Z-Geheimpower ein!
ATKMSG_Z_N_290={0x0101,0x0000} (Herrscher) setzt[0x000A]Z-Geheimpower ein!
ATKMSG_Z_M_291={0x0101,0x0000} setzt[0x000A]Z-Taucher ein!
ATKMSG_Z_Y_291={0x0101,0x0000} (wild) setzt[0x000A]Z-Taucher ein!
ATKMSG_Z_E_291={0x0101,0x0000} (Gegner) setzt[0x000A]Z-Taucher ein!
ATKMSG_Z_N_291={0x0101,0x0000} (Herrscher) setzt[0x000A]Z-Taucher ein!
ATKMSG_Z_M_292={0x0101,0x0000} setzt[0x000A]Z-Armstoß ein!
ATKMSG_Z_Y_292={0x0101,0x0000} (wild) setzt[0x000A]Z-Armstoß ein!
ATKMSG_Z_E_292={0x0101,0x0000} (Gegner) setzt[0x000A]Z-Armstoß ein!
ATKMSG_Z_N_292={0x0101,0x0000} (Herrscher) setzt[0x000A]Z-Armstoß ein!
ATKMSG_Z_M_293={0x0101,0x0000} setzt[0x000A]Z-Tarnung ein!
ATKMSG_Z_Y_293={0x0101,0x0000} (wild) setzt[0x000A]Z-Tarnung ein!
ATKMSG_Z_E_293={0x0101,0x0000} (Gegner) setzt[0x000A]Z-Tarnung ein!
ATKMSG_Z_N_293={0x0101,0x0000} (Herrscher) setzt[0x000A]Z-Tarnung ein!
ATKMSG_Z_M_294={0x0101,0x0000} setzt[0x000A]Z-Schweifglanz ein!
ATKMSG_Z_Y_294={0x0101,0x0000} (wild) setzt[0x000A]Z-Schweifglanz ein!
ATKMSG_Z_E_294={0x0101,0x0000} (Gegner) setzt[0x000A]Z-Schweifglanz ein!
ATKMSG_Z_N_294={0x0101,0x0000} (Herrscher) setzt[0x000A]Z-Schweifglanz ein!
ATKMSG_Z_M_295={0x0101,0x0000} setzt[0x000A]Z-Scheinwerfer ein!
ATKMSG_Z_Y_295={0x0101,0x0000} (wild) setzt[0x000A]Z-Scheinwerfer ein!
ATKMSG_Z_E_295={0x0101,0x0000} (Gegner) setzt[0x000A]Z-Scheinwerfer ein!
ATKMSG_Z_N_295={0x0101,0x0000} (Herrscher) setzt[0x000A]Z-Scheinwerfer ein!
ATKMSG_Z_M_296={0x0101,0x0000} setzt[0x000A]Z-Nebelball ein!
ATKMSG_Z_Y_296={0x0101,0x0000} (wild) setzt[0x000A]Z-Nebelball ein!
ATKMSG_Z_E_296={0x0101,0x0000} (Gegner) setzt[0x000A]Z-Nebelball ein!
ATKMSG_Z_N_296={0x0101,0x0000} (Herrscher) setzt[0x000A]Z-Nebelball ein!
ATKMSG_Z_M_297={0x0101,0x0000} setzt[0x000A]Z-Daunenreigen ein!
ATKMSG_Z_Y_297={0x0101,0x0000} (wild) setzt[0x000A]Z-Daunenreigen ein!
ATKMSG_Z_E_297={0x0101,0x0000} (Gegner) setzt[0x000A]Z-Daunenreigen ein!
ATKMSG_Z_N_297={0x0101,0x0000} (Herrscher) setzt[0x000A]Z-Daunenreigen ein!
ATKMSG_Z_M_298={0x0101,0x0000} setzt[0x000A]Z-Taumeltanz ein!
ATKMSG_Z_Y_298={0x0101,0x0000} (wild) setzt[0x000A]Z-Taumeltanz ein!
ATKMSG_Z_E_298={0x0101,0x0000} (Gegner) setzt[0x000A]Z-Taumeltanz ein!
ATKMSG_Z_N_298={0x0101,0x0000} (Herrscher) setzt[0x000A]Z-Taumeltanz ein!
ATKMSG_Z_M_299={0x0101,0x0000} setzt[0x000A]Z-Feuerfeger ein!
ATKMSG_Z_Y_299={0x0101,0x0000} (wild) setzt[0x000A]Z-Feuerfeger ein!
ATKMSG_Z_E_299={0x0101,0x0000} (Gegner) setzt[0x000A]Z-Feuerfeger ein!
ATKMSG_Z_N_299={0x0101,0x0000} (Herrscher) setzt[0x000A]Z-Feuerfeger ein!
ATKMSG_Z_M_300={0x0101,0x0000} setzt[0x000A]Z-Lehmsuhler ein!
ATKMSG_Z_Y_300={0x0101,0x0000} (wild) setzt[0x000A]Z-Lehmsuhler ein!
ATKMSG_Z_E_300={0x0101,0x0000} (Gegner) setzt[0x000A]Z-Lehmsuhler ein!
ATKMSG_Z_N_300={0x0101,0x0000} (Herrscher) setzt[0x000A]Z-Lehmsuhler ein!
ATKMSG_Z_M_301={0x0101,0x0000} setzt[0x000A]Z-Frostbeule ein!
ATKMSG_Z_Y_301={0x0101,0x0000} (wild) setzt[0x000A]Z-Frostbeule ein!
ATKMSG_Z_E_301={0x0101,0x0000} (Gegner) setzt[0x000A]Z-Frostbeule ein!
ATKMSG_Z_N_301={0x0101,0x0000} (Herrscher) setzt[0x000A]Z-Frostbeule ein!
ATKMSG_Z_M_302={0x0101,0x0000} setzt[0x000A]Z-Nietenranke ein!
ATKMSG_Z_Y_302={0x0101,0x0000} (wild) setzt[0x000A]Z-Nietenranke ein!
ATKMSG_Z_E_302={0x0101,0x0000} (Gegner) setzt[0x000A]Z-Nietenranke ein!
ATKMSG_Z_N_302={0x0101,0x0000} (Herrscher) setzt[0x000A]Z-Nietenranke ein!
ATKMSG_Z_M_303={0x0101,0x0000} setzt[0x000A]Z-Tagedieb ein!
ATKMSG_Z_Y_303={0x0101,0x0000} (wild) setzt[0x000A]Z-Tagedieb ein!
ATKMSG_Z_E_303={0x0101,0x0000} (Gegner) setzt[0x000A]Z-Tagedieb ein!
ATKMSG_Z_N_303={0x0101,0x0000} (Herrscher) setzt[0x000A]Z-Tagedieb ein!
ATKMSG_Z_M_304={0x0101,0x0000} setzt[0x000A]Z-Schallwelle ein!
ATKMSG_Z_Y_304={0x0101,0x0000} (wild) setzt[0x000A]Z-Schallwelle ein!
ATKMSG_Z_E_304={0x0101,0x0000} (Gegner) setzt[0x000A]Z-Schallwelle ein!
ATKMSG_Z_N_304={0x0101,0x0000} (Herrscher) setzt[0x000A]Z-Schallwelle ein!
ATKMSG_Z_M_305={0x0101,0x0000} setzt[0x000A]Z-Giftzahn ein!
ATKMSG_Z_Y_305={0x0101,0x0000} (wild) setzt[0x000A]Z-Giftzahn ein!
ATKMSG_Z_E_305={0x0101,0x0000} (Gegner) setzt[0x000A]Z-Giftzahn ein!
ATKMSG_Z_N_305={0x0101,0x0000} (Herrscher) setzt[0x000A]Z-Giftzahn ein!
ATKMSG_Z_M_306={0x0101,0x0000} setzt[0x000A]Z-Zermalmklaue ein!
ATKMSG_Z_Y_306={0x0101,0x0000} (wild) setzt[0x000A]Z-Zermalmklaue ein!
ATKMSG_Z_E_306={0x0101,0x0000} (Gegner) setzt[0x000A]Z-Zermalmklaue ein!
ATKMSG_Z_N_306={0x0101,0x0000} (Herrscher) setzt[0x000A]Z-Zermalmklaue ein!
ATKMSG_Z_M_307={0x0101,0x0000} setzt[0x000A]Z-Lohekanonade ein!
ATKMSG_Z_Y_307={0x0101,0x0000} (wild) setzt[0x000A]Z-Lohekanonade ein!
ATKMSG_Z_E_307={0x0101,0x0000} (Gegner) setzt[0x000A]Z-Lohekanonade ein!
ATKMSG_Z_N_307={0x0101,0x0000} (Herrscher) setzt[0x000A]Z-Lohekanonade ein!
ATKMSG_Z_M_308={0x0101,0x0000} setzt[0x000A]Z-Aquahaubitze ein!
ATKMSG_Z_Y_308={0x0101,0x0000} (wild) setzt[0x000A]Z-Aquahaubitze ein!
ATKMSG_Z_E_308={0x0101,0x0000} (Gegner) setzt[0x000A]Z-Aquahaubitze ein!
ATKMSG_Z_N_308={0x0101,0x0000} (Herrscher) setzt[0x000A]Z-Aquahaubitze ein!
ATKMSG_Z_M_309={0x0101,0x0000} setzt[0x000A]Z-Sternenhieb ein!
ATKMSG_Z_Y_309={0x0101,0x0000} (wild) setzt[0x000A]Z-Sternenhieb ein!
ATKMSG_Z_E_309={0x0101,0x0000} (Gegner) setzt[0x000A]Z-Sternenhieb ein!
ATKMSG_Z_N_309={0x0101,0x0000} (Herrscher) setzt[0x000A]Z-Sternenhieb ein!
ATKMSG_Z_M_310={0x0101,0x0000} setzt[0x000A]Z-Erstauner ein!
ATKMSG_Z_Y_310={0x0101,0x0000} (wild) setzt[0x000A]Z-Erstauner ein!
ATKMSG_Z_E_310={0x0101,0x0000} (Gegner) setzt[0x000A]Z-Erstauner ein!
ATKMSG_Z_N_310={0x0101,0x0000} (Herrscher) setzt[0x000A]Z-Erstauner ein!
ATKMSG_Z_M_311={0x0101,0x0000} setzt[0x000A]Z-Meteorologe ein!
ATKMSG_Z_Y_311={0x0101,0x0000} (wild) setzt[0x000A]Z-Meteorologe ein!
ATKMSG_Z_E_311={0x0101,0x0000} (Gegner) setzt[0x000A]Z-Meteorologe ein!
ATKMSG_Z_N_311={0x0101,0x0000} (Herrscher) setzt[0x000A]Z-Meteorologe ein!
ATKMSG_Z_M_312={0x0101,0x0000} setzt[0x000A]Z-Aromakur ein!
ATKMSG_Z_Y_312={0x0101,0x0000} (wild) setzt[0x000A]Z-Aromakur ein!
ATKMSG_Z_E_312={0x0101,0x0000} (Gegner) setzt[0x000A]Z-Aromakur ein!
ATKMSG_Z_N_312={0x0101,0x0000} (Herrscher) setzt[0x000A]Z-Aromakur ein!
ATKMSG_Z_M_313={0x0101,0x0000} setzt[0x000A]Z-Trugträne ein!
ATKMSG_Z_Y_313={0x0101,0x0000} (wild) setzt[0x000A]Z-Trugträne ein!
ATKMSG_Z_E_313={0x0101,0x0000} (Gegner) setzt[0x000A]Z-Trugträne ein!
ATKMSG_Z_N_313={0x0101,0x0000} (Herrscher) setzt[0x000A]Z-Trugträne ein!
ATKMSG_Z_M_314={0x0101,0x0000} setzt[0x000A]Z-Windschnitt ein!
ATKMSG_Z_Y_314={0x0101,0x0000} (wild) setzt[0x000A]Z-Windschnitt ein!
ATKMSG_Z_E_314={0x0101,0x0000} (Gegner) setzt[0x000A]Z-Windschnitt ein!
ATKMSG_Z_N_314={0x0101,0x0000} (Herrscher) setzt[0x000A]Z-Windschnitt ein!
ATKMSG_Z_M_315={0x0101,0x0000} setzt[0x000A]Z-Hitzekoller ein!
ATKMSG_Z_Y_315={0x0101,0x0000} (wild) setzt[0x000A]Z-Hitzekoller ein!
ATKMSG_Z_E_315={0x0101,0x0000} (Gegner) setzt[0x000A]Z-Hitzekoller ein!
ATKMSG_Z_N_315={0x0101,0x0000} (Herrscher) setzt[0x000A]Z-Hitzekoller ein!
ATKMSG_Z_M_316={0x0101,0x0000} setzt[0x000A]Z-Schnüffler ein!
ATKMSG_Z_Y_316={0x0101,0x0000} (wild) setzt[0x000A]Z-Schnüffler ein!
ATKMSG_Z_E_316={0x0101,0x0000} (Gegner) setzt[0x000A]Z-Schnüffler ein!
ATKMSG_Z_N_316={0x0101,0x0000} (Herrscher) setzt[0x000A]Z-Schnüffler ein!
ATKMSG_Z_M_317={0x0101,0x0000} setzt[0x000A]Z-Felsgrab ein!
ATKMSG_Z_Y_317={0x0101,0x0000} (wild) setzt[0x000A]Z-Felsgrab ein!
ATKMSG_Z_E_317={0x0101,0x0000} (Gegner) setzt[0x000A]Z-Felsgrab ein!
ATKMSG_Z_N_317={0x0101,0x0000} (Herrscher) setzt[0x000A]Z-Felsgrab ein!
ATKMSG_Z_M_318={0x0101,0x0000} setzt[0x000A]Z-Silberhauch ein!
ATKMSG_Z_Y_318={0x0101,0x0000} (wild) setzt[0x000A]Z-Silberhauch ein!
ATKMSG_Z_E_318={0x0101,0x0000} (Gegner) setzt[0x000A]Z-Silberhauch ein!
ATKMSG_Z_N_318={0x0101,0x0000} (Herrscher) setzt[0x000A]Z-Silberhauch ein!
ATKMSG_Z_M_319={0x0101,0x0000} setzt[0x000A]Z-Metallsound ein!
ATKMSG_Z_Y_319={0x0101,0x0000} (wild) setzt[0x000A]Z-Metallsound ein!
ATKMSG_Z_E_319={0x0101,0x0000} (Gegner) setzt[0x000A]Z-Metallsound ein!
ATKMSG_Z_N_319={0x0101,0x0000} (Herrscher) setzt[0x000A]Z-Metallsound ein!
ATKMSG_Z_M_320={0x0101,0x0000} setzt[0x000A]Z-Grasflöte ein!
ATKMSG_Z_Y_320={0x0101,0x0000} (wild) setzt[0x000A]Z-Grasflöte ein!
ATKMSG_Z_E_320={0x0101,0x0000} (Gegner) setzt[0x000A]Z-Grasflöte ein!
ATKMSG_Z_N_320={0x0101,0x0000} (Herrscher) setzt[0x000A]Z-Grasflöte ein!
ATKMSG_Z_M_321={0x0101,0x0000} setzt[0x000A]Z-Spaßkanone ein!
ATKMSG_Z_Y_321={0x0101,0x0000} (wild) setzt[0x000A]Z-Spaßkanone ein!
ATKMSG_Z_E_321={0x0101,0x0000} (Gegner) setzt[0x000A]Z-Spaßkanone ein!
ATKMSG_Z_N_321={0x0101,0x0000} (Herrscher) setzt[0x000A]Z-Spaßkanone ein!
ATKMSG_Z_M_322={0x0101,0x0000} setzt[0x000A]Z-Kosmik-Kraft ein!
ATKMSG_Z_Y_322={0x0101,0x0000} (wild) setzt[0x000A]Z-Kosmik-Kraft ein!
ATKMSG_Z_E_322={0x0101,0x0000} (Gegner) setzt[0x000A]Z-Kosmik-Kraft ein!
ATKMSG_Z_N_322={0x0101,0x0000} (Herrscher) setzt[0x000A]Z-Kosmik-Kraft ein!
ATKMSG_Z_M_323={0x0101,0x0000} setzt[0x000A]Z-Fontränen ein!
ATKMSG_Z_Y_323={0x0101,0x0000} (wild) setzt[0x000A]Z-Fontränen ein!
ATKMSG_Z_E_323={0x0101,0x0000} (Gegner) setzt[0x000A]Z-Fontränen ein!
ATKMSG_Z_N_323={0x0101,0x0000} (Herrscher) setzt[0x000A]Z-Fontränen ein!
ATKMSG_Z_M_324={0x0101,0x0000} setzt[0x000A]Z-Ampelleuchte ein!
ATKMSG_Z_Y_324={0x0101,0x0000} (wild) setzt[0x000A]Z-Ampelleuchte ein!
ATKMSG_Z_E_324={0x0101,0x0000} (Gegner) setzt[0x000A]Z-Ampelleuchte ein!
ATKMSG_Z_N_324={0x0101,0x0000} (Herrscher) setzt[0x000A]Z-Ampelleuchte ein!
ATKMSG_Z_M_325={0x0101,0x0000} setzt[0x000A]Z-Finsterfaust ein!
ATKMSG_Z_Y_325={0x0101,0x0000} (wild) setzt[0x000A]Z-Finsterfaust ein!
ATKMSG_Z_E_325={0x0101,0x0000} (Gegner) setzt[0x000A]Z-Finsterfaust ein!
ATKMSG_Z_N_325={0x0101,0x0000} (Herrscher) setzt[0x000A]Z-Finsterfaust ein!
ATKMSG_Z_M_326={0x0101,0x0000} setzt[0x000A]Z-Sondersensor ein!
ATKMSG_Z_Y_326={0x0101,0x0000} (wild) setzt[0x000A]Z-Sondersensor ein!
